sample_number,site,element,value,group
110,Forest,Zn,49,geochem
110,Forest,Zr,6.8,geochem
111,Forest,Ag,0.09,geochem
111,Forest,Al,0.72,geochem
111,Forest,As,6,geochem
111,Forest,B,20,geochem
111,Forest,Ba,160,geochem
111,Forest,Be,0.51,geochem
111,Forest,Bi,0.21,geochem
111,Forest,Ca,0.82,geochem
111,Forest,Cd,0.51,geochem
111,Forest,Ce,39.1,geochem
111,Forest,Co,9.3,geochem
111,Forest,Cr,15,geochem
111,Forest,Cs,0.65,geochem
111,Forest,Cu,18.1,geochem
111,Forest,Fe,1.35,geochem
111,Forest,Ga,2.49,geochem
111,Forest,Hf,0.1,geochem
111,Forest,Hg,0.06,geochem
111,Forest,In,0.02,geochem
111,Forest,K,0.21,geochem
111,Forest,La,19.3,geochem
111,Forest,Li,7.4,geochem
111,Forest,Mg,0.29,geochem
111,Forest,Mn,1050,geochem
111,Forest,Mo,0.8,geochem
111,Forest,Nb,0.43,geochem
111,Forest,Ni,25.9,geochem
111,Forest,P,840,geochem
111,Forest,Pb,12.7,geochem
111,Forest,Rb,17.1,geochem
111,Forest,S,0.05,geochem
111,Forest,Sb,0.37,geochem
111,Forest,Sc,1.9,geochem
111,Forest,Se,1.1,geochem
111,Forest,Sn,0.4,geochem
111,Forest,Sr,25.4,geochem
111,Forest,Te,0.04,geochem
111,Forest,Th,2.3,geochem
111,Forest,Tl,0.21,geochem
111,Forest,U,1.26,geochem
111,Forest,V,40,geochem
111,Forest,Y,12.2,geochem
111,Forest,Zn,92,geochem
111,Forest,Zr,4.2,geochem
112,Forest,Ag,0.08,geochem
112,Forest,Al,0.79,geochem
112,Forest,As,5.1,geochem
112,Forest,B,20,geochem
112,Forest,Ba,140,geochem
112,Forest,Be,0.53,geochem
112,Forest,Bi,0.22,geochem
112,Forest,Ca,0.98,geochem
112,Forest,Cd,0.41,geochem
112,Forest,Ce,28.1,geochem
112,Forest,Co,6,geochem
112,Forest,Cr,15,geochem
112,Forest,Cs,0.53,geochem
112,Forest,Cu,12.8,geochem
112,Forest,Fe,1.22,geochem
112,Forest,Ga,2.47,geochem
112,Forest,Hf,0.16,geochem
112,Forest,Hg,0.07,geochem
112,Forest,In,0.018,geochem
112,Forest,K,0.24,geochem
112,Forest,La,14.1,geochem
112,Forest,Li,7.6,geochem
112,Forest,Mg,0.31,geochem
112,Forest,Mn,707,geochem
112,Forest,Mo,0.71,geochem
112,Forest,Nb,0.43,geochem
112,Forest,Ni,14.9,geochem
112,Forest,P,860,geochem
112,Forest,Pb,12.8,geochem
112,Forest,Rb,15.4,geochem
112,Forest,S,0.06,geochem
112,Forest,Sb,0.31,geochem
112,Forest,Sc,1.6,geochem
112,Forest,Se,1.1,geochem
112,Forest,Sn,0.4,geochem
