sample_number,site,element,value,group
30,Agriculture,In,0.028,geochem
30,Agriculture,K,0.19,geochem
30,Agriculture,La,16.6,geochem
30,Agriculture,Li,17.9,geochem
30,Agriculture,Mg,0.8,geochem
30,Agriculture,Mn,947,geochem
30,Agriculture,Mo,0.69,geochem
30,Agriculture,Nb,0.59,geochem
30,Agriculture,Ni,31.1,geochem
30,Agriculture,P,790,geochem
30,Agriculture,Pb,11,geochem
30,Agriculture,Rb,14.9,geochem
30,Agriculture,S,0.15,geochem
30,Agriculture,Sb,0.45,geochem
30,Agriculture,Sc,2.8,geochem
30,Agriculture,Se,2.4,geochem
30,Agriculture,Sn,0.6,geochem
30,Agriculture,Sr,151,geochem
30,Agriculture,Te,0.03,geochem
30,Agriculture,Th,1.7,geochem
30,Agriculture,Tl,0.13,geochem
30,Agriculture,U,1.59,geochem
30,Agriculture,V,65,geochem
30,Agriculture,Y,10.55,geochem
30,Agriculture,Zn,92,geochem
30,Agriculture,Zr,4.6,geochem
31,Agriculture,Ag,0.09,geochem
31,Agriculture,Al,1.21,geochem
31,Agriculture,As,8.2,geochem
31,Agriculture,B,40,geochem
31,Agriculture,Ba,150,geochem
31,Agriculture,Be,1.02,geochem
31,Agriculture,Bi,0.23,geochem
31,Agriculture,Ca,4.4,geochem
31,Agriculture,Cd,0.62,geochem
31,Agriculture,Ce,34.6,geochem
31,Agriculture,Co,8.1,geochem
31,Agriculture,Cr,22,geochem
31,Agriculture,Cs,0.59,geochem
31,Agriculture,Cu,25.9,geochem
31,Agriculture,Fe,1.81,geochem
31,Agriculture,Ga,4.19,geochem
31,Agriculture,Hf,0.16,geochem
31,Agriculture,Hg,0.05,geochem
31,Agriculture,In,0.029,geochem
31,Agriculture,K,0.22,geochem
31,Agriculture,La,17.2,geochem
31,Agriculture,Li,16.8,geochem
31,Agriculture,Mg,0.79,geochem
31,Agriculture,Mn,602,geochem
31,Agriculture,Mo,0.58,geochem
31,Agriculture,Nb,0.65,geochem
31,Agriculture,Ni,28.3,geochem
31,Agriculture,P,860,geochem
31,Agriculture,Pb,11,geochem
31,Agriculture,Rb,16.5,geochem
31,Agriculture,S,0.12,geochem
31,Agriculture,Sb,0.45,geochem
31,Agriculture,Sc,3,geochem
31,Agriculture,Se,2.3,geochem
31,Agriculture,Sn,0.6,geochem
31,Agriculture,Sr,101.5,geochem
31,Agriculture,Te,0.04,geochem
31,Agriculture,Th,2,geochem
31,Agriculture,Tl,0.13,geochem
31,Agriculture,U,1.52,geochem
31,Agriculture,V,67,geochem
31,Agriculture,Y,10.7,geochem
31,Agriculture,Zn,98,geochem
31,Agriculture,Zr,6.2,geochem
32,Agriculture,Ag,0.11,geochem
32,Agriculture,Al,1.39,geochem
32,Agriculture,As,9.3,geochem
32,Agriculture,B,30,geochem
32,Agriculture,Ba,160,geochem
32,Agriculture,Be,1.13,geochem
32,Agriculture,Bi,0.25,geochem
32,Agriculture,Ca,3.54,geochem
32,Agriculture,Cd,0.68,geochem
32,Agriculture,Ce,38,geochem
32,Agriculture,Co,9.1,geochem
32,Agriculture,Cr,26,geochem
32,Agriculture,Cs,0.73,geochem
32,Agriculture,Cu,27.3,geochem
32,Agriculture,Fe,2.03,geochem
32,Agriculture,Ga,4.83,geochem
32,Agriculture,Hf,0.2,geochem
32,Agriculture,Hg,0.05,geochem
32,Agriculture,In,0.031,geochem
32,Agriculture,K,0.22,geochem
32,Agriculture,La,18.9,geochem
32,Agriculture,Li,18.2,geochem
32,Agriculture,Mg,0.78,geochem
32,Agriculture,Mn,612,geochem
32,Agriculture,Mo,0.71,geochem
32,Agriculture,Nb,0.73,geochem
32,Agriculture,Ni,32.4,geochem
32,Agriculture,P,780,geochem
32,Agriculture,Pb,12.5,geochem
32,Agriculture,Rb,18.4,geochem
32,Agriculture,S,0.07,geochem
32,Agriculture,Sb,0.46,geochem
32,Agriculture,Sc,3.7,geochem
32,Agriculture,Se,2,geochem
32,Agriculture,Sn,0.7,geochem
32,Agriculture,Sr,82.7,geochem
32,Agriculture,Te,0.05,geochem
32,Agriculture,Th,2.7,geochem
32,Agriculture,Tl,0.17,geochem
32,Agriculture,U,1.37,geochem
32,Agriculture,V,77,geochem
32,Agriculture,Y,11.85,geochem
32,Agriculture,Zn,101,geochem
32,Agriculture,Zr,7.1,geochem
33,Agriculture,Ag,0.1,geochem
33,Agriculture,Al,1.27,geochem
33,Agriculture,As,7,geochem
33,Agriculture,B,30,geochem
33,Agriculture,Ba,130,geochem
33,Agriculture,Be,0.94,geochem
33,Agriculture,Bi,0.25,geochem
33,Agriculture,Ca,1.33,geochem
33,Agriculture,Cd,0.66,geochem
33,Agriculture,Ce,36.4,geochem
33,Agriculture,Co,7.7,geochem
33,Agriculture,Cr,24,geochem
33,Agriculture,Cs,0.67,geochem
33,Agriculture,Cu,27.7,geochem
33,Agriculture,Fe,1.81,geochem
33,Agriculture,Ga,4.3,geochem
33,Agriculture,Hf,0.22,geochem
33,Agriculture,Hg,0.05,geochem
33,Agriculture,In,0.032,geochem
33,Agriculture,K,0.26,geochem
33,Agriculture,La,18.5,geochem
33,Agriculture,Li,14.9,geochem
33,Agriculture,Mg,0.61,geochem
33,Agriculture,Mn,509,geochem
33,Agriculture,Mo,0.49,geochem
33,Agriculture,Nb,0.63,geochem
33,Agriculture,Ni,27,geochem
33,Agriculture,P,700,geochem
33,Agriculture,Pb,12.6,geochem
33,Agriculture,Rb,21.3,geochem
33,Agriculture,S,0.05,geochem
33,Agriculture,Sb,0.39,geochem
33,Agriculture,Sc,3.2,geochem
33,Agriculture,Se,1.7,geochem
33,Agriculture,Sn,0.6,geochem
33,Agriculture,Sr,46,geochem
33,Agriculture,Te,0.04,geochem
33,Agriculture,Th,2.5,geochem
33,Agriculture,Tl,0.18,geochem
33,Agriculture,U,1.31,geochem
33,Agriculture,V,68,geochem
33,Agriculture,Y,11.7,geochem
33,Agriculture,Zn,102,geochem
33,Agriculture,Zr,8.1,geochem
34,Agriculture,Ag,0.11,geochem
34,Agriculture,Al,1.35,geochem
34,Agriculture,As,8.1,geochem
34,Agriculture,B,30,geochem
34,Agriculture,Ba,140,geochem
34,Agriculture,Be,1.09,geochem
34,Agriculture,Bi,0.26,geochem
34,Agriculture,Ca,0.95,geochem
34,Agriculture,Cd,0.62,geochem
34,Agriculture,Ce,38.4,geochem
34,Agriculture,Co,8.7,geochem
34,Agriculture,Cr,26,geochem
34,Agriculture,Cs,0.97,geochem
34,Agriculture,Cu,26.5,geochem
34,Agriculture,Fe,1.96,geochem
34,Agriculture,Ga,4.62,geochem
34,Agriculture,Hf,0.21,geochem
34,Agriculture,Hg,0.05,geochem
34,Agriculture,In,0.035,geochem
34,Agriculture,K,0.28,geochem
34,Agriculture,La,19.8,geochem
34,Agriculture,Li,15.6,geochem
34,Agriculture,Mg,0.52,geochem
34,Agriculture,Mn,670,geochem
34,Agriculture,Mo,0.57,geochem
34,Agriculture,Nb,0.62,geochem
34,Agriculture,Ni,28.7,geochem
34,Agriculture,P,560,geochem
34,Agriculture,Pb,12.5,geochem
34,Agriculture,Rb,25.8,geochem
34,Agriculture,S,0.05,geochem
34,Agriculture,Sb,0.37,geochem
34,Agriculture,Sc,3.6,geochem
34,Agriculture,Se,0.9,geochem
34,Agriculture,Sn,0.7,geochem
34,Agriculture,Sr,41.6,geochem
34,Agriculture,Te,0.03,geochem
34,Agriculture,Th,3.2,geochem
34,Agriculture,Tl,0.21,geochem
34,Agriculture,U,1.3,geochem
34,Agriculture,V,72,geochem
34,Agriculture,Y,12.05,geochem
34,Agriculture,Zn,106,geochem
34,Agriculture,Zr,8.1,geochem
35,Agriculture,Ag,0.13,geochem
35,Agriculture,Al,1.25,geochem
35,Agriculture,As,8.4,geochem
35,Agriculture,B,30,geochem
35,Agriculture,Ba,130,geochem
35,Agriculture,Be,0.96,geochem
35,Agriculture,Bi,0.29,geochem
35,Agriculture,Ca,1.16,geochem
35,Agriculture,Cd,0.57,geochem
35,Agriculture,Ce,36.8,geochem
35,Agriculture,Co,8.1,geochem
35,Agriculture,Cr,24,geochem
35,Agriculture,Cs,0.89,geochem
35,Agriculture,Cu,25.8,geochem
35,Agriculture,Fe,1.9,geochem
35,Agriculture,Ga,4.37,geochem
35,Agriculture,Hf,0.19,geochem
35,Agriculture,Hg,0.05,geochem
35,Agriculture,In,0.031,geochem
35,Agriculture,K,0.31,geochem
35,Agriculture,La,18.5,geochem
35,Agriculture,Li,15,geochem
35,Agriculture,Mg,0.63,geochem
35,Agriculture,Mn,733,geochem
35,Agriculture,Mo,0.59,geochem
35,Agriculture,Nb,0.59,geochem
35,Agriculture,Ni,25.9,geochem
35,Agriculture,P,660,geochem
35,Agriculture,Pb,12.5,geochem
35,Agriculture,Rb,24.6,geochem
35,Agriculture,S,0.05,geochem
35,Agriculture,Sb,0.36,geochem
35,Agriculture,Sc,3.4,geochem
35,Agriculture,Se,1,geochem
35,Agriculture,Sn,0.7,geochem
35,Agriculture,Sr,39.9,geochem
35,Agriculture,Te,0.04,geochem
35,Agriculture,Th,2.9,geochem
35,Agriculture,Tl,0.22,geochem
35,Agriculture,U,1.33,geochem
35,Agriculture,V,65,geochem
35,Agriculture,Y,11.5,geochem
35,Agriculture,Zn,99,geochem
35,Agriculture,Zr,7.2,geochem
36,Agriculture,Ag,0.1,geochem
36,Agriculture,Al,1.3,geochem
36,Agriculture,As,12.5,geochem
36,Agriculture,B,30,geochem
36,Agriculture,Ba,180,geochem
36,Agriculture,Be,1.04,geochem
36,Agriculture,Bi,0.24,geochem
36,Agriculture,Ca,4.96,geochem
36,Agriculture,Cd,0.51,geochem
36,Agriculture,Ce,37.3,geochem
36,Agriculture,Co,9.3,geochem
36,Agriculture,Cr,23,geochem
36,Agriculture,Cs,0.85,geochem
36,Agriculture,Cu,24,geochem
36,Agriculture,Fe,2.08,geochem
36,Agriculture,Ga,4.49,geochem
36,Agriculture,Hf,0.15,geochem
36,Agriculture,Hg,0.05,geochem
36,Agriculture,In,0.032,geochem
36,Agriculture,K,0.2,geochem
36,Agriculture,La,18.3,geochem
36,Agriculture,Li,18.3,geochem
36,Agriculture,Mg,0.93,geochem
36,Agriculture,Mn,1230,geochem
36,Agriculture,Mo,1.6,geochem
36,Agriculture,Nb,0.56,geochem
36,Agriculture,Ni,28.3,geochem
36,Agriculture,P,640,geochem
36,Agriculture,Pb,11.2,geochem
36,Agriculture,Rb,18.3,geochem
36,Agriculture,S,0.1,geochem
36,Agriculture,Sb,0.51,geochem
36,Agriculture,Sc,3.5,geochem
36,Agriculture,Se,1.6,geochem
36,Agriculture,Sn,0.6,geochem
36,Agriculture,Sr,118.5,geochem
36,Agriculture,Te,0.05,geochem
36,Agriculture,Th,3,geochem
36,Agriculture,Tl,0.17,geochem
36,Agriculture,U,1.71,geochem
36,Agriculture,V,71,geochem
36,Agriculture,Y,11.5,geochem
36,Agriculture,Zn,86,geochem
36,Agriculture,Zr,5.8,geochem
37,Agriculture,Ag,0.08,geochem
37,Agriculture,Al,1.2,geochem
37,Agriculture,As,8.6,geochem
37,Agriculture,B,40,geochem
37,Agriculture,Ba,170,geochem
37,Agriculture,Be,0.99,geochem
37,Agriculture,Bi,0.22,geochem
37,Agriculture,Ca,7.89,geochem
37,Agriculture,Cd,0.6,geochem
37,Agriculture,Ce,33,geochem
37,Agriculture,Co,8.6,geochem
37,Agriculture,Cr,21,geochem
37,Agriculture,Cs,0.54,geochem
37,Agriculture,Cu,26,geochem
37,Agriculture,Fe,1.83,geochem
37,Agriculture,Ga,4.18,geochem
37,Agriculture,Hf,0.1,geochem
37,Agriculture,Hg,0.04,geochem
37,Agriculture,In,0.029,geochem
37,Agriculture,K,0.19,geochem
37,Agriculture,La,16.2,geochem
37,Agriculture,Li,17.4,geochem
37,Agriculture,Mg,0.81,geochem
37,Agriculture,Mn,1080,geochem
37,Agriculture,Mo,0.78,geochem
37,Agriculture,Nb,0.61,geochem
37,Agriculture,Ni,30.7,geochem
37,Agriculture,P,820,geochem
37,Agriculture,Pb,10.7,geochem
37,Agriculture,Rb,14.3,geochem
37,Agriculture,S,0.13,geochem
37,Agriculture,Sb,0.45,geochem
37,Agriculture,Sc,2.8,geochem
37,Agriculture,Se,2.3,geochem
37,Agriculture,Sn,0.6,geochem
37,Agriculture,Sr,163.5,geochem
37,Agriculture,Te,0.04,geochem
37,Agriculture,Th,1.6,geochem
37,Agriculture,Tl,0.13,geochem
37,Agriculture,U,1.82,geochem
37,Agriculture,V,65,geochem
37,Agriculture,Y,9.97,geochem
37,Agriculture,Zn,90,geochem
37,Agriculture,Zr,4.1,geochem
38,Agriculture,Ag,0.09,geochem
38,Agriculture,Al,1.2,geochem
38,Agriculture,As,8.1,geochem
38,Agriculture,B,40,geochem
38,Agriculture,Ba,150,geochem
38,Agriculture,Be,1.01,geochem
38,Agriculture,Bi,0.22,geochem
38,Agriculture,Ca,5.45,geochem
38,Agriculture,Cd,0.67,geochem
38,Agriculture,Ce,34.1,geochem
38,Agriculture,Co,8.3,geochem
38,Agriculture,Cr,22,geochem
38,Agriculture,Cs,0.61,geochem
38,Agriculture,Cu,29,geochem
38,Agriculture,Fe,1.78,geochem
38,Agriculture,Ga,4.18,geochem
38,Agriculture,Hf,0.18,geochem
38,Agriculture,Hg,0.05,geochem
38,Agriculture,In,0.029,geochem
38,Agriculture,K,0.2,geochem
38,Agriculture,La,17.1,geochem
38,Agriculture,Li,16.9,geochem
38,Agriculture,Mg,0.76,geochem
38,Agriculture,Mn,751,geochem
38,Agriculture,Mo,0.69,geochem
38,Agriculture,Nb,0.64,geochem
38,Agriculture,Ni,28.9,geochem
38,Agriculture,P,810,geochem
38,Agriculture,Pb,11,geochem
38,Agriculture,Rb,17.1,geochem
38,Agriculture,S,0.1,geochem
38,Agriculture,Sb,0.45,geochem
38,Agriculture,Sc,2.9,geochem
38,Agriculture,Se,2.7,geochem
38,Agriculture,Sn,0.6,geochem
38,Agriculture,Sr,124,geochem
38,Agriculture,Te,0.04,geochem
38,Agriculture,Th,1.9,geochem
38,Agriculture,Tl,0.14,geochem
38,Agriculture,U,1.54,geochem
38,Agriculture,V,65,geochem
38,Agriculture,Y,10.65,geochem
38,Agriculture,Zn,94,geochem
38,Agriculture,Zr,6.1,geochem
39,Agriculture,Ag,0.09,geochem
39,Agriculture,Al,1.3,geochem
39,Agriculture,As,7.4,geochem
39,Agriculture,B,30,geochem
39,Agriculture,Ba,140,geochem
39,Agriculture,Be,0.99,geochem
39,Agriculture,Bi,0.24,geochem
39,Agriculture,Ca,3.02,geochem
39,Agriculture,Cd,0.64,geochem
39,Agriculture,Ce,36,geochem
39,Agriculture,Co,7.8,geochem
39,Agriculture,Cr,24,geochem
39,Agriculture,Cs,0.64,geochem
39,Agriculture,Cu,29.4,geochem
39,Agriculture,Fe,1.86,geochem
39,Agriculture,Ga,4.35,geochem
39,Agriculture,Hf,0.2,geochem
39,Agriculture,Hg,0.04,geochem
39,Agriculture,In,0.031,geochem
39,Agriculture,K,0.24,geochem
39,Agriculture,La,18,geochem
39,Agriculture,Li,15.8,geochem
39,Agriculture,Mg,0.76,geochem
39,Agriculture,Mn,553,geochem
39,Agriculture,Mo,0.52,geochem
39,Agriculture,Nb,0.71,geochem
39,Agriculture,Ni,27.3,geochem
39,Agriculture,P,770,geochem
39,Agriculture,Pb,11.7,geochem
39,Agriculture,Rb,20.2,geochem
39,Agriculture,S,0.06,geochem
39,Agriculture,Sb,0.43,geochem
39,Agriculture,Sc,3.2,geochem
39,Agriculture,Se,2.1,geochem
39,Agriculture,Sn,0.6,geochem
39,Agriculture,Sr,77.2,geochem
39,Agriculture,Te,0.04,geochem
39,Agriculture,Th,2.4,geochem
39,Agriculture,Tl,0.17,geochem
39,Agriculture,U,1.34,geochem
39,Agriculture,V,70,geochem
39,Agriculture,Y,11.15,geochem
39,Agriculture,Zn,101,geochem
39,Agriculture,Zr,7.7,geochem
40,Agriculture,Ag,0.1,geochem
40,Agriculture,Al,1.37,geochem
40,Agriculture,As,6.9,geochem
40,Agriculture,B,30,geochem
40,Agriculture,Ba,140,geochem
40,Agriculture,Be,1.03,geochem
40,Agriculture,Bi,0.26,geochem
40,Agriculture,Ca,1.21,geochem
40,Agriculture,Cd,0.64,geochem
40,Agriculture,Ce,37.2,geochem
40,Agriculture,Co,7.9,geochem
40,Agriculture,Cr,26,geochem
40,Agriculture,Cs,0.78,geochem
40,Agriculture,Cu,27.4,geochem
40,Agriculture,Fe,1.93,geochem
40,Agriculture,Ga,4.51,geochem
40,Agriculture,Hf,0.22,geochem
40,Agriculture,Hg,0.05,geochem
40,Agriculture,In,0.032,geochem
40,Agriculture,K,0.31,geochem
40,Agriculture,La,19,geochem
40,Agriculture,Li,15.6,geochem
40,Agriculture,Mg,0.58,geochem
40,Agriculture,Mn,558,geochem
40,Agriculture,Mo,0.57,geochem
40,Agriculture,Nb,0.69,geochem
40,Agriculture,Ni,27.3,geochem
40,Agriculture,P,730,geochem
40,Agriculture,Pb,13,geochem
40,Agriculture,Rb,25.1,geochem
40,Agriculture,S,0.06,geochem
40,Agriculture,Sb,0.41,geochem
40,Agriculture,Sc,3.3,geochem
40,Agriculture,Se,1.5,geochem
40,Agriculture,Sn,0.7,geochem
40,Agriculture,Sr,44.3,geochem
40,Agriculture,Te,0.04,geochem
40,Agriculture,Th,2.7,geochem
40,Agriculture,Tl,0.19,geochem
40,Agriculture,U,1.41,geochem
40,Agriculture,V,73,geochem
40,Agriculture,Y,11.95,geochem
40,Agriculture,Zn,105,geochem
40,Agriculture,Zr,8.6,geochem
41,Agriculture,Ag,0.11,geochem
41,Agriculture,Al,1.26,geochem
41,Agriculture,As,7.6,geochem
41,Agriculture,B,30,geochem
41,Agriculture,Ba,130,geochem
41,Agriculture,Be,0.91,geochem
41,Agriculture,Bi,0.25,geochem
41,Agriculture,Ca,1.36,geochem
41,Agriculture,Cd,0.58,geochem
41,Agriculture,Ce,34.8,geochem
41,Agriculture,Co,7.6,geochem
41,Agriculture,Cr,24,geochem
41,Agriculture,Cs,0.78,geochem
41,Agriculture,Cu,24.6,geochem
41,Agriculture,Fe,1.83,geochem
41,Agriculture,Ga,4.16,geochem
41,Agriculture,Hf,0.18,geochem
41,Agriculture,Hg,0.04,geochem
41,Agriculture,In,0.03,geochem
41,Agriculture,K,0.3,geochem
41,Agriculture,La,17.8,geochem
41,Agriculture,Li,14.3,geochem
41,Agriculture,Mg,0.66,geochem
41,Agriculture,Mn,588,geochem
41,Agriculture,Mo,0.54,geochem
41,Agriculture,Nb,0.58,geochem
41,Agriculture,Ni,25,geochem
41,Agriculture,P,730,geochem
41,Agriculture,Pb,11.8,geochem
41,Agriculture,Rb,23.1,geochem
41,Agriculture,S,0.05,geochem
41,Agriculture,Sb,0.37,geochem
41,Agriculture,Sc,3.1,geochem
41,Agriculture,Se,1.2,geochem
41,Agriculture,Sn,0.6,geochem
41,Agriculture,Sr,41.6,geochem
41,Agriculture,Te,0.04,geochem
41,Agriculture,Th,2.6,geochem
41,Agriculture,Tl,0.19,geochem
41,Agriculture,U,1.24,geochem
41,Agriculture,V,66,geochem
41,Agriculture,Y,11.1,geochem
41,Agriculture,Zn,103,geochem
41,Agriculture,Zr,7,geochem
42,Agriculture,Ag,0.11,geochem
42,Agriculture,Al,1.34,geochem
42,Agriculture,As,7,geochem
42,Agriculture,B,30,geochem
42,Agriculture,Ba,130,geochem
42,Agriculture,Be,1,geochem
42,Agriculture,Bi,0.26,geochem
42,Agriculture,Ca,1.16,geochem
42,Agriculture,Cd,0.61,geochem
42,Agriculture,Ce,38.9,geochem
42,Agriculture,Co,8.2,geochem
42,Agriculture,Cr,26,geochem
42,Agriculture,Cs,0.91,geochem
42,Agriculture,Cu,27.8,geochem
42,Agriculture,Fe,1.88,geochem
42,Agriculture,Ga,4.63,geochem
42,Agriculture,Hf,0.21,geochem
42,Agriculture,Hg,0.05,geochem
42,Agriculture,In,0.031,geochem
42,Agriculture,K,0.31,geochem
42,Agriculture,La,20.2,geochem
42,Agriculture,Li,15.5,geochem
42,Agriculture,Mg,0.56,geochem
42,Agriculture,Mn,646,geochem
42,Agriculture,Mo,0.47,geochem
42,Agriculture,Nb,0.62,geochem
42,Agriculture,Ni,27.3,geochem
42,Agriculture,P,650,geochem
42,Agriculture,Pb,12.6,geochem
42,Agriculture,Rb,24.8,geochem
42,Agriculture,S,0.05,geochem
42,Agriculture,Sb,0.35,geochem
42,Agriculture,Sc,3.6,geochem
42,Agriculture,Se,1.1,geochem
42,Agriculture,Sn,0.7,geochem
42,Agriculture,Sr,43.2,geochem
42,Agriculture,Te,0.05,geochem
42,Agriculture,Th,2.9,geochem
42,Agriculture,Tl,0.21,geochem
42,Agriculture,U,1.27,geochem
42,Agriculture,V,69,geochem
42,Agriculture,Y,12.15,geochem
42,Agriculture,Zn,106,geochem
42,Agriculture,Zr,7.9,geochem
43,Agriculture,Ag,0.09,geochem
43,Agriculture,Al,1.25,geochem
43,Agriculture,As,7.5,geochem
43,Agriculture,B,30,geochem
43,Agriculture,Ba,170,geochem
43,Agriculture,Be,0.86,geochem
43,Agriculture,Bi,0.21,geochem
43,Agriculture,Ca,7.11,geochem
43,Agriculture,Cd,0.49,geochem
43,Agriculture,Ce,31.8,geochem
43,Agriculture,Co,7.7,geochem
43,Agriculture,Cr,22,geochem
43,Agriculture,Cs,0.66,geochem
43,Agriculture,Cu,21.9,geochem
43,Agriculture,Fe,1.78,geochem
43,Agriculture,Ga,3.95,geochem
43,Agriculture,Hf,0.11,geochem
43,Agriculture,Hg,0.04,geochem
43,Agriculture,In,0.026,geochem
43,Agriculture,K,0.18,geochem
43,Agriculture,La,16,geochem
43,Agriculture,Li,16.3,geochem
43,Agriculture,Mg,0.97,geochem
43,Agriculture,Mn,1050,geochem
43,Agriculture,Mo,1.05,geochem
43,Agriculture,Nb,0.53,geochem
43,Agriculture,Ni,26.9,geochem
43,Agriculture,P,650,geochem
43,Agriculture,Pb,10,geochem
43,Agriculture,Rb,14.2,geochem
43,Agriculture,S,0.11,geochem
43,Agriculture,Sb,0.4,geochem
43,Agriculture,Sc,3,geochem
43,Agriculture,Se,1.6,geochem
43,Agriculture,Sn,0.6,geochem
43,Agriculture,Sr,153,geochem
43,Agriculture,Te,0.03,geochem
43,Agriculture,Th,2.2,geochem
43,Agriculture,Tl,0.13,geochem
43,Agriculture,U,1.42,geochem
43,Agriculture,V,65,geochem
43,Agriculture,Y,9.99,geochem
43,Agriculture,Zn,81,geochem
43,Agriculture,Zr,4.3,geochem
44,Agriculture,Ag,0.09,geochem
44,Agriculture,Al,1.16,geochem
44,Agriculture,As,8.7,geochem
44,Agriculture,B,30,geochem
44,Agriculture,Ba,170,geochem
44,Agriculture,Be,0.86,geochem
44,Agriculture,Bi,0.22,geochem
44,Agriculture,Ca,8.78,geochem
44,Agriculture,Cd,0.59,geochem
44,Agriculture,Ce,33.1,geochem
44,Agriculture,Co,10,geochem
44,Agriculture,Cr,22,geochem
44,Agriculture,Cs,0.67,geochem
44,Agriculture,Cu,24,geochem
44,Agriculture,Fe,1.78,geochem
44,Agriculture,Ga,3.85,geochem
44,Agriculture,Hf,0.1,geochem
44,Agriculture,Hg,0.05,geochem
44,Agriculture,In,0.03,geochem
44,Agriculture,K,0.18,geochem
44,Agriculture,La,16.3,geochem
44,Agriculture,Li,15.8,geochem
44,Agriculture,Mg,0.79,geochem
44,Agriculture,Mn,1470,geochem
44,Agriculture,Mo,1.45,geochem
44,Agriculture,Nb,0.54,geochem
44,Agriculture,Ni,33,geochem
44,Agriculture,P,720,geochem
44,Agriculture,Pb,10.5,geochem
44,Agriculture,Rb,15.1,geochem
44,Agriculture,S,0.1,geochem
44,Agriculture,Sb,0.48,geochem
44,Agriculture,Sc,3,geochem
44,Agriculture,Se,1.6,geochem
44,Agriculture,Sn,0.6,geochem
44,Agriculture,Sr,160.5,geochem
44,Agriculture,Te,0.04,geochem
44,Agriculture,Th,2.2,geochem
44,Agriculture,Tl,0.14,geochem
44,Agriculture,U,1.29,geochem
44,Agriculture,V,64,geochem
44,Agriculture,Y,10.25,geochem
44,Agriculture,Zn,85,geochem
44,Agriculture,Zr,4.4,geochem
45,Agriculture,Ag,0.1,geochem
45,Agriculture,Al,1.17,geochem
45,Agriculture,As,9.3,geochem
45,Agriculture,B,40,geochem
45,Agriculture,Ba,150,geochem
45,Agriculture,Be,0.92,geochem
45,Agriculture,Bi,0.22,geochem
45,Agriculture,Ca,6.33,geochem
45,Agriculture,Cd,0.64,geochem
45,Agriculture,Ce,32.8,geochem
45,Agriculture,Co,8.8,geochem
45,Agriculture,Cr,22,geochem
45,Agriculture,Cs,0.57,geochem
45,Agriculture,Cu,27.1,geochem
45,Agriculture,Fe,1.74,geochem
45,Agriculture,Ga,3.98,geochem
45,Agriculture,Hf,0.12,geochem
45,Agriculture,Hg,0.04,geochem
45,Agriculture,In,0.029,geochem
45,Agriculture,K,0.2,geochem
45,Agriculture,La,16.4,geochem
45,Agriculture,Li,15.8,geochem
45,Agriculture,Mg,0.74,geochem
45,Agriculture,Mn,1020,geochem
45,Agriculture,Mo,1.12,geochem
45,Agriculture,Nb,0.59,geochem
45,Agriculture,Ni,30.9,geochem
45,Agriculture,P,840,geochem
45,Agriculture,Pb,11,geochem
45,Agriculture,Rb,15.2,geochem
45,Agriculture,S,0.1,geochem
45,Agriculture,Sb,0.47,geochem
45,Agriculture,Sc,2.8,geochem
45,Agriculture,Se,2.2,geochem
45,Agriculture,Sn,0.6,geochem
45,Agriculture,Sr,126.5,geochem
45,Agriculture,Te,0.04,geochem
45,Agriculture,Th,1.8,geochem
45,Agriculture,Tl,0.14,geochem
45,Agriculture,U,1.56,geochem
45,Agriculture,V,66,geochem
45,Agriculture,Y,10.1,geochem
45,Agriculture,Zn,91,geochem
45,Agriculture,Zr,4.7,geochem
46,Agriculture,Ag,0.1,geochem
46,Agriculture,Al,1.32,geochem
46,Agriculture,As,8.4,geochem
46,Agriculture,B,30,geochem
46,Agriculture,Ba,140,geochem
46,Agriculture,Be,1,geochem
46,Agriculture,Bi,0.25,geochem
46,Agriculture,Ca,2.56,geochem
46,Agriculture,Cd,0.62,geochem
46,Agriculture,Ce,36.7,geochem
46,Agriculture,Co,8.2,geochem
46,Agriculture,Cr,26,geochem
46,Agriculture,Cs,0.86,geochem
46,Agriculture,Cu,27.2,geochem
46,Agriculture,Fe,1.96,geochem
46,Agriculture,Ga,4.49,geochem
46,Agriculture,Hf,0.2,geochem
46,Agriculture,Hg,0.05,geochem
46,Agriculture,In,0.034,geochem
46,Agriculture,K,0.26,geochem
46,Agriculture,La,18.7,geochem
46,Agriculture,Li,15.7,geochem
46,Agriculture,Mg,0.8,geochem
46,Agriculture,Mn,668,geochem
46,Agriculture,Mo,0.64,geochem
46,Agriculture,Nb,0.67,geochem
46,Agriculture,Ni,27.7,geochem
46,Agriculture,P,750,geochem
46,Agriculture,Pb,12.2,geochem
46,Agriculture,Rb,23.3,geochem
46,Agriculture,S,0.06,geochem
46,Agriculture,Sb,0.45,geochem
46,Agriculture,Sc,3.3,geochem
46,Agriculture,Se,1.7,geochem
46,Agriculture,Sn,0.7,geochem
46,Agriculture,Sr,66.6,geochem
46,Agriculture,Te,0.05,geochem
46,Agriculture,Th,2.6,geochem
46,Agriculture,Tl,0.21,geochem
46,Agriculture,U,1.38,geochem
46,Agriculture,V,71,geochem
46,Agriculture,Y,11.5,geochem
46,Agriculture,Zn,105,geochem
46,Agriculture,Zr,7.4,geochem
47,Agriculture,Ag,0.12,geochem
47,Agriculture,Al,1.27,geochem
47,Agriculture,As,8.5,geochem
47,Agriculture,B,30,geochem
47,Agriculture,Ba,130,geochem
47,Agriculture,Be,0.95,geochem
