x,y,ca,elevation
460409.1742,5619875.327,1.2113614082336426,365.813232421875
460419.1742,5619875.327,1.1989473104476929,365.8856201171875
460429.1742,5619875.327,1.2045172452926636,365.9781494140625
460439.1742,5619875.327,1.2341371774673462,366.1912841796875
460449.1742,5619875.327,1.2524738311767578,366.360107421875
460459.1742,5619875.327,1.2778280973434448,366.3604736328125
460469.1742,5619875.327,1.286346435546875,366.35052490234375
460479.1742,5619875.327,1.3061877489089966,366.3509521484375
460489.1742,5619875.327,1.331803321838379,366.3290710449219
460499.1742,5619875.327,1.3675391674041748,366.31787109375
460509.1742,5619875.327,1.420957326889038,366.3029174804687
460519.1742,5619875.327,1.4813519716262815,366.2259826660156
460529.1742,5619875.327,1.5160444974899292,366.0454406738281
460539.1742,5619875.327,1.550013303756714,365.78521728515625
